bathrooms,description,floor,location1,location2,price,price_m2,rooms,size,location,position
1.0,Ponemos a la venta este precioso piso en pleno barrio de Lavapiés. El piso se encuentra en una primera planta y ...,1ª,calle del Amparo,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),260.000,7.222,1.0,36,"calle del Amparo, Embajadores-Lavapiés (Distrito Centro. Madrid Capital)","{'lat': 40.4085644, 'lng': -3.702142799999999}"
3.0,"Exclusiva vivienda en el prestigioso barrio de Chamberí en la calle Cea Bermudez, de 360 metros, ubicada en una ...",5ª,"calle de Cea Bermúdez, Madrid",Gaztambide (Distrito Chamberí. Madrid Capital),1.550.000,4.305,6.0,360,"calle de Cea Bermúdez, Madrid, Gaztambide (Distrito Chamberí. Madrid Capital)","{'lat': 40.4389759, 'lng': -3.7128532}"
1.0,Magnífico apartamento en venta en calle carlos fuentes en finca seminueva con ascensor!!! Del año 2005. Ideal pa...,5ª,Apartamento en calle Carlos Fuentes,Cármenes (Distrito Latina. Madrid Capital),169.000,2.770,1.0,61,"Apartamento en calle Carlos Fuentes, Cármenes (Distrito Latina. Madrid Capital)","{'lat': 40.4033992, 'lng': -3.7392082}"
2.0,"Gilmar consulting inmobiliario madrid, conde orgaz-campo de las naciones, comercializa en las rosas, un piso imp...",,Rosas,Rosas (Distrito San Blas. Madrid Capital),324.000,2.677,2.0,121,"Rosas, Rosas (Distrito San Blas. Madrid Capital)","{'lat': 40.428817, 'lng': -3.6053791}"
3.0,"Excelente piso en Madrid zona Cuzco-Castillejos. Ubicado en entreplanta exterior, con una superficie de 83 m2. d...",1ª,Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),435.000,5.240,3.0,83,"Castillejos, Castillejos (Distrito Tetuán. Madrid Capital)","{'lat': 40.4600771, 'lng': -3.6954509}"
2.0,"Inmueble en segunda planta exterior de 95 m2, distribución cuadrada, calefacción individual por gas natural, air...",,Plaza Antonio Machada,Covibar-Pablo Iglesias (Rivas-Vaciamadrid),152.000,1.600,3.0,95,"Plaza Antonio Machada, Covibar-Pablo Iglesias (Rivas-Vaciamadrid)","{'lat': 40.3652947, 'lng': -3.5514339}"
1.0,"Piso de 93 metros en zona Canillejas, junto al estadio del Wanda. Salón independiente con acceso a la terraza, c...",2ª,calle Iliada,Canillejas (Distrito San Blas. Madrid Capital),175.000,1.881,3.0,93,"calle Iliada, Canillejas (Distrito San Blas. Madrid Capital)","{'lat': 40.4353273, 'lng': -3.6094255}"
1.0,"Precioso piso de tres dormitorios en chueca.- 3 dormitorios. - dormitorio principal, con vestidor.- 1 cuarto de ...",1ª,Apartamento en Centro,Justicia-Chueca (Distrito Centro. Madrid Capital),412.000,4.847,3.0,85,"Apartamento en Centro, Justicia-Chueca (Distrito Centro. Madrid Capital)","{'lat': 40.42082000000001, 'lng': -3.706486299999999}"
1.0,"No cobramos honorarios al comprador. Trato directo con la propiedad, total transparencia. Al final del anuncio p...",,Rinconada,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),192.500,2.566,3.0,75,"Rinconada, Rinconada (Distrito Reyes Católicos. Alcalá de Henares)","{'lat': 40.4773816, 'lng': -3.3735601}"
1.0,"Piso en san fermin!!!!!! Baja de precio !!!!!!  En zona tranquila, de 3 hab.  1 baño, exterior!!!!!!   Con una t...",,San Fermin,San Fermín (Distrito Usera. Madrid Capital),118.000,1.638,3.0,72,"San Fermin, San Fermín (Distrito Usera. Madrid Capital)","{'lat': 40.3717659, 'lng': -3.6916569}"
3.0,"Oportunidad bancaria piso con 2 plazas de garaje y trastero-negociable,  planta baja con patio de 156m², excelen...",,"Avenida Principe de Asturias, nº 9-11",Zona Monte del Pilar (Majadahonda),655.000,4.119,3.0,159,"Avenida Principe de Asturias, nº 9-11, Zona Monte del Pilar (Majadahonda)","{'lat': 40.4700967, 'lng': -3.8532628}"
2.0,"Piso de 72 m2, con reforma a estrenar. Cuenta con dos habitaciones y dos baños. Dispone de calefacción central y...",2ª,calle Don Ramón de La Cruz,Lista (Distrito Salamanca. Madrid Capital),595.000,8.263,2.0,72,"calle Don Ramón de La Cruz, Lista (Distrito Salamanca. Madrid Capital)","{'lat': 40.4287132, 'lng': -3.675389}"
4.0,"Este exclusivo piso de 3 plantas en el centro de Madrid destaca por su estilo bohemio, techos de casi 4 metros d...",,Apartamento en Palacio,Palacio (Distrito Centro. Madrid Capital),1.975.000,6.250,3.0,316,"Apartamento en Palacio, Palacio (Distrito Centro. Madrid Capital)","{'lat': 40.42082000000001, 'lng': -3.706486299999999}"
1.0,Estupendo piso en collado mediano,1ª,Collado Mediano,Collado Mediano,103.000,1.320,3.0,78,"Collado Mediano, Collado Mediano","{'lat': 40.6927311, 'lng': -4.026725799999999}"
2.0,1º B Port.9 Tipo 26. Piso en una finca de obra nueva de 111 m2 de superficie construida y emplazado en la zona d...,,"calle Londres Cruce Con C/ Río Guadiana,  S/N",Zona Noreste (Torrejón de Ardoz),267.000,2.405,3.0,111,"calle Londres Cruce Con C/ Río Guadiana,  S/N, Zona Noreste (Torrejón de Ardoz)","{'lat': 40.4611173, 'lng': -3.4678608}"
1.0,"LCI vende este piso de 4 dormitorios. Dispone de salón comedor con terraza acristalada en PVC blanco, cocina amu...",4ª,Paseo del Sol,Meco,99.000,970,4.0,102,"Paseo del Sol, Meco","{'lat': 40.5498121, 'lng': -3.3241165}"
1.0,"Bonita vivienda en planta primera con ascensor que cuenta con una superficie útil de unos 38 m2 aproximadamente,...",1ª,"calle San Isidro, nº 3",El Álamo,188.700,4.014,2.0,47,"calle San Isidro, nº 3, El Álamo","{'lat': 40.2294954, 'lng': -3.9919407}"
2.0,"""""Your Home"" pone a su disposición fabuloso piso de 110 m2 + patio de 54 m2 en los Fresnos, una de las mejores z...",,Torrejón de Ardoz - Fresnos,Zona Suroeste (Torrejón de Ardoz),255.000,2.318,3.0,110,"Torrejón de Ardoz - Fresnos, Zona Suroeste (Torrejón de Ardoz)","{'lat': 40.4472303, 'lng': -3.4702457}"
2.0,SAFER bienes raíces pone a su disposición la posibilidad de adquirir este bonito piso exterior y muy luminoso co...,6ª,"Apartamento en calle del General Margallo, Madrid",Berruguete (Distrito Tetuán. Madrid Capital),375.000,4.213,3.0,89,"Apartamento en calle del General Margallo, Madrid, Berruguete (Distrito Tetuán. Madrid Capital)","{'lat': 40.458713, 'lng': -3.694695}"
2.0,"GUERRA y MENDEZ Propiedades presenta en venta, precioso bajo en urbanización privada.
 
 Se distribuye en amplio...",,calle Bucarest,Rosas (Distrito San Blas. Madrid Capital),325.000,3.385,2.0,96,"calle Bucarest, Rosas (Distrito San Blas. Madrid Capital)","{'lat': 40.42621279999999, 'lng': -3.6031969}"
4.0,"Fantástico piso en venta en Vallehermoso, en el distrito de Chamberi; consta de 5 habitaciones, y 4 baños; salón...",4ª,Paseo San Francisco de Sales,Bellas Vistas (Distrito Tetuán. Madrid Capital),1.050.000,4.646,5.0,226,"Paseo San Francisco de Sales, Bellas Vistas (Distrito Tetuán. Madrid Capital)","{'lat': 40.4545288, 'lng': -3.703685}"
2.0,"Redpiso vende en inmejorable zona de Torrejón Veredillas, vivienda que consta  de dos dormitorios anteriormente ...",4ª,calle Milan,Zona Noreste (Torrejón de Ardoz),170.000,1.634,2.0,104,"calle Milan, Zona Noreste (Torrejón de Ardoz)","{'lat': 40.464068, 'lng': -3.4660102}"
1.0,Piso en un edificio de obra nueva de 83 m2 de superficie construida y ubicado en la zona de Madrid Capital. Está...,,Bellas Vistas,Bellas Vistas (Distrito Tetuán. Madrid Capital),365.000,4.397,2.0,83,"Bellas Vistas, Bellas Vistas (Distrito Tetuán. Madrid Capital)","{'lat': 40.4531035, 'lng': -3.708353}"
2.0,"Crown & Wells comercializa un fantástico inmueble en el Restón, ubicado dentro de Urbanización tranquila con Pis...",2ª,Apartamento en Restón I - Restón Ii,Hispanoamérica-Las Comunidades (Valdemoro),196.800,1.640,3.0,120,"Apartamento en Restón I - Restón Ii, Hispanoamérica-Las Comunidades (Valdemoro)","{'lat': 38.9586307, 'lng': -77.35700279999999}"
2.0,"Magnífico bajo con jardín  de 70m²  que cuenta con una pérgola de madera, toldos y riego automático.Tiene salida...",,calle Bahía de Málaga,Corralejos (Distrito Barajas. Madrid Capital),430.000,4.942,2.0,87,"calle Bahía de Málaga, Corralejos (Distrito Barajas. Madrid Capital)","{'lat': 40.46745910000001, 'lng': -3.5946932}"
3.0,Fantástico piso en la zona de Niño Jesús. Tercera planta completamente exterior. Edificio rodeado de zonas ajard...,3ª,Niño Jesús,Niño Jesús (Distrito Retiro. Madrid Capital),835.000,4.282,4.0,195,"Niño Jesús, Niño Jesús (Distrito Retiro. Madrid Capital)","{'lat': 40.4101609, 'lng': -3.6767163}"
4.0,"Fantastico piso segregable en dos , en una de las mejores calles de Chamberi noble. La propiedad comprende el pr...",,Almagro,Castillejos (Distrito Tetuán. Madrid Capital),7.000.000,9.150,18.0,765,"Almagro, Castillejos (Distrito Tetuán. Madrid Capital)","{'lat': 40.4600771, 'lng': -3.6954509}"
3.0,GILMAR CONSULTING INMOBILIARIO CHAMBERI 915919190 VENDE fantástico piso ubicado en una de las calles más emblemá...,,Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),1.150.000,4.423,4.0,260,"Arapiles, Arapiles (Distrito Chamberí. Madrid Capital)","{'lat': 40.43512459999999, 'lng': -3.7086506}"
1.0,donpiso Azca pone a la venta vivienda exterior de esquina en la Plaza de la República Dominicana con una superfi...,5ª,Plaza República Dominicana,Hispanoamérica (Distrito Chamartín. Madrid Capital),550.000,5.392,3.0,102,"Plaza República Dominicana, Hispanoamérica (Distrito Chamartín. Madrid Capital)","{'lat': 40.4588346, 'lng': -3.676924}"
1.0,Piso bajo en venta o en alquiler con opcion a compra. Vivienda de 85 m² de planta baja más patio privado de 50 m...,,Navalcarnero - La Dehesa de Navalcarnero,Navalcarnero,175.000,2.058,2.0,85,"Navalcarnero - La Dehesa de Navalcarnero, Navalcarnero","{'lat': 40.301019, 'lng': -3.9861425}"
1.0,"En una de las mejores zonas del Barrio de Salamanca, entre Juan Bravo y la Calle Velazquez. Portal representativ...",,Salamanca,El Viso (Distrito Chamartín. Madrid Capital),340.000,4.146,4.0,82,"Salamanca, El Viso (Distrito Chamartín. Madrid Capital)","{'lat': 40.4490213, 'lng': -3.6866813}"
4.0,"Loft de diseño esta situada en la zona de Rios Rosas,  en planta baja exterior con amplias estancias, con varios...",,Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.100.000,2.750,4.0,400,"Ríos Rosas, Ríos Rosas (Distrito Chamberí. Madrid Capital)","{'lat': 40.4419975, 'lng': -3.7017574}"
2.0,"Eurnorte. es vende en calle Pedro Rico, cerca de las 4 torres y La Paz, piso de 160 metros construidos, exterior...",9ª,calle Pedro Rico,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),600.000,3.750,3.0,160,"calle Pedro Rico, La Paz (Distrito Fuencarral-El Pardo. Madrid Capital)","{'lat': 40.4839828, 'lng': -3.6956567}"
4.0,"Piso casi a estrenar con unas muy buenas calidades, edificio con seguridad 24horas, piscina, jardín y paddle. La...",,Hortaleza - Piovera,Piovera (Distrito Hortaleza. Madrid Capital),1.750.000,6.013,5.0,291,"Hortaleza - Piovera, Piovera (Distrito Hortaleza. Madrid Capital)","{'lat': 40.4621844, 'lng': -3.6270067}"
1.0,"Gestion inmobiliaria jimenez.
Piso reformado para entrar a vivir, cerca de renfe, consta de tres dormitorios co...",1ª,"calle San Andres, nº 96",Cercedilla,135.000,1.500,3.0,90,"calle San Andres, nº 96, Cercedilla","{'lat': 40.7373809, 'lng': -4.0646399}"
2.0,"Altura piso 2º, piso superficie total 150 m², superficie útil 105 m², habitaciones dobles: 3, 2 baños, aire acon...",2ª,calle Picasso,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),499.000,3.326,3.0,150,"calle Picasso, Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón)","{'lat': 40.4082151, 'lng': -3.7838756}"
1.0,"Oficina Pinos Alta del grupo Tecnocasa, comercializa en exclusiva la venta de una vivienda en c/ Pinos Alta.
Ubi...",,calle Pinos Alta,Almenara (Distrito Tetuán. Madrid Capital),229.000,2.489,2.0,92,"calle Pinos Alta, Almenara (Distrito Tetuán. Madrid Capital)","{'lat': 40.4681141, 'lng': -3.698127299999999}"
1.0,"Agencia inmobiliaria de alcala de henares barrio venecia, vende estupendo piso en calle valle de nocito, con amp...",,Rinconada,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),189.000,1.488,3.0,127,"Rinconada, Rinconada (Distrito Reyes Católicos. Alcalá de Henares)","{'lat': 40.4773816, 'lng': -3.3735601}"
3.0,Gilmar Consulting Inmobiliario pone a su disposición piso en Pozuelo de Alarcón de 195 m2 con 4 dormitorios (en ...,,Pozuelo de Alarcón,Pueblo (Pozuelo de Alarcón),820.000,4.205,4.0,195,"Pozuelo de Alarcón, Pueblo (Pozuelo de Alarcón)","{'lat': 40.4440627, 'lng': -3.8058517}"
2.0,8º A Port.7 Tipo 39. Piso en un inmueble de obra nueva de 98 m2 de superficie construida y situado en la zona de...,,"calle Londres Cruce Con C/ Río Guadiana,  S/N",Zona Noreste (Torrejón de Ardoz),264.600,2.700,2.0,98,"calle Londres Cruce Con C/ Río Guadiana,  S/N, Zona Noreste (Torrejón de Ardoz)","{'lat': 40.4611173, 'lng': -3.4678608}"
1.0,Piso en un inmueble de obra nueva de 48 m2 de superficie construida y situado en la zona de Aranjuez. Está estru...,, San Pascual,Centro (Aranjuez),78.400,1.616,1.0,48," San Pascual, Centro (Aranjuez)","{'lat': 40.02750839999999, 'lng': -3.5967152}"
2.0,"Redpiso vende precioso piso, amplio y luminoso en Travesía de la Cañada. Para entrar a VIVIR. Compuesto de tres ...",3ª,calle Travesia de La Cañada,Zona Sureste (Torrejón de Ardoz),199.000,1.686,3.0,118,"calle Travesia de La Cañada, Zona Sureste (Torrejón de Ardoz)","{'lat': 40.449566, 'lng': -3.468712}"
2.0,"Gran ocasión de vivienda en Getafe centro.

Vivienda en residencial privado, con antigüedad del año 1995. Tiene ...",2ª,calle San Vicente,Centro (Getafe),270.000,2.347,3.0,115,"calle San Vicente, Centro (Getafe)","{'lat': 40.3077729, 'lng': -3.7258537}"
4.0,Se trata de una magnifica vivienda de 218 m2 construidos en el mejor tramo de la calle Princesa. La vivienda est...,4ª,Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.450.000,6.651,4.0,218,"Argüelles, Argüelles (Distrito Moncloa-Aravaca. Madrid Capital)","{'lat': 40.4294136, 'lng': -3.721413}"
1.0,"No cobramos honorarios al comprador. Trato directo con la propiedad, total transparencia. Al final del anuncio p...",,Reyes Catolicos,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),149.900,1.684,3.0,89,"Reyes Catolicos, Rinconada (Distrito Reyes Católicos. Alcalá de Henares)","{'lat': 40.4738164, 'lng': -3.3781289}"
3.0,"expectacular piso en venta en barrio salamnanca cercano al retiro y puerta de alcala ,excelente ubicacíon. 400 m...",2ª,calle Nuñez de Balboa,Castellana (Distrito Salamanca. Madrid Capital),3.000.000,7.500,5.0,400,"calle Nuñez de Balboa, Castellana (Distrito Salamanca. Madrid Capital)","{'lat': 40.4328529, 'lng': -3.6821295}"
2.0,"""Fantástico piso a reformar, en venta, en Chamberi, en el barrio de Vallehermoso.
La vivienda consta de 3 habita...",6ª,calle Reina Victoria,Bellas Vistas (Distrito Tetuán. Madrid Capital),457.000,3.973,3.0,115,"calle Reina Victoria, Bellas Vistas (Distrito Tetuán. Madrid Capital)","{'lat': 40.4470494, 'lng': -3.7081472}"
1.0,"Se vende piso en Parque Henares, 85m2, 3 dormitorios, 1 w/c reformado con plato de ducha, cocina reformada con e...",,Parque Henares,Parque Henares (San Fernando de Henares),169.000,1.988,3.0,85,"Parque Henares, Parque Henares (San Fernando de Henares)","{'lat': 40.4213907, 'lng': -3.5303489}"
1.0,"Magnífica oportunidad en el centro histórico de Madrid, piso a reformar de 72 m2 con vistas desde sus dos espect...",2ª,"Apartamento en calle Limón, nº 5",Universidad-Malasaña (Distrito Centro. Madrid Capital),349.000,4.847,2.0,72,"Apartamento en calle Limón, nº 5, Universidad-Malasaña (Distrito Centro. Madrid Capital)","{'lat': 40.4255992, 'lng': -3.7111021}"
5.0,Excepcional piso A ESTRENAR con calidades de lujo en una de las mejores calles del barrio de Los Jerónimos FRENT...,,Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),1.225.000,7.424,3.0,165,"Jerónimos, Jerónimos (Distrito Retiro. Madrid Capital)","{'lat': 40.415072, 'lng': -3.6932785}"
1.0,Piso 2 dormitorios para reformar salamanca-goya muy centrico inmejorable ubicación.  Nik inversión y gestión ofr...,2ª,"calle General Diaz Porlier, nº 3",Goya (Distrito Salamanca. Madrid Capital),350.000,5.645,2.0,62,"calle General Diaz Porlier, nº 3, Goya (Distrito Salamanca. Madrid Capital)","{'lat': 40.42444589999999, 'lng': -3.6773771}"
1.0,"Precioso Loft con jardín privado, techado. En urbanización con vigilancia privada. A sólo 5 minutos de Alcalá de...",0,Camarma de Esteruelas,Camarma de Esteruelas,85.000,850,1.0,100,"Camarma de Esteruelas, Camarma de Esteruelas","{'lat': 40.5474107, 'lng': -3.3766851}"
1.0,"Usera madrid, calle de antonio prieto, 93, 28026,  es un piso que tiene 68 m² utiles y dispone de 3 habitaciones...",,"calle de Antonio Prieto, nº 93",Zofío (Distrito Usera. Madrid Capital),99.000,1.164,3.0,85,"calle de Antonio Prieto, nº 93, Zofío (Distrito Usera. Madrid Capital)","{'lat': 40.38068130000001, 'lng': -3.711958999999999}"
2.0,"Fuenhome inmobiliaria vende piso que consta de 4 dormitorios, baño (completo) y aseo (ducha), salón de paso de u...",,calle Segovia,Naranjo-La Serna (Fuenlabrada),226.500,1.677,4.0,135,"calle Segovia, Naranjo-La Serna (Fuenlabrada)","{'lat': 40.29678029999999, 'lng': -3.7926281}"
4.0,"Este maravilloso piso disfruta de una ubicación privilegiada en el exclusivo barrio de Salamanca, en pleno centr...",,Castellana,Castellana (Distrito Salamanca. Madrid Capital),2.450.000,9.959,3.0,246,"Castellana, Castellana (Distrito Salamanca. Madrid Capital)","{'lat': 40.4533356, 'lng': -3.689516999999999}"
1.0,"Piso en Madrid zona San Isidro, 69 m. de superficie,  una habitación doble y 2 habitaciones sencillas,  un baño,...",2ª,"calle Zaida, nº 13",San Isidro (Distrito Carabanchel. Madrid Capital),130.000,1.884,3.0,69,"calle Zaida, nº 13, San Isidro (Distrito Carabanchel. Madrid Capital)","{'lat': 40.3973463, 'lng': -3.7342859}"
2.0,"Vivienda de 120 m2 exterior en comunidad privada, de 5 años de construcción,  3 habitaciones dobles, 2 baños, 1 ...",,Alcobendas Ciudad - Norte,Valdelasfuentes-Norte (Alcobendas),405.000,3.375,3.0,120,"Alcobendas Ciudad - Norte, Valdelasfuentes-Norte (Alcobendas)","{'lat': 40.550215, 'lng': -3.653202799999999}"
1.0,Gilmar Consulting Inmobiliario Chamberi 915919190 vende estupendo Apartamento con reforma de lujo situado en el ...,,Apartamento en Rios Rosas,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),228.000,6.000,1.0,38,"Apartamento en Rios Rosas, La Paz (Distrito Fuencarral-El Pardo. Madrid Capital)","{'lat': 40.4390311, 'lng': -3.699396}"
2.0,Inversor !!!!!  Comprador !!!!!! Gran Oportunidad de comprar piso para reformar en pleno centro de Madrid. A tan...,1ª,"calle de Rafael de Riego, nº 9",Palos de Moguer (Distrito Arganzuela. Madrid Capital),325.000,3.250,4.0,100,"calle de Rafael de Riego, nº 9, Palos de Moguer (Distrito Arganzuela. Madrid Capital)","{'lat': 40.4044916, 'lng': -3.69201}"
2.0,Inmobiliaria MAQUEDA vende piso completamente reformado en Avenida del Oeste. 90 m² distribuidos en salón-comedo...,5ª,"Avenida del Oeste, nº .",Parque Ondarreta-Urtinsa (Alcorcón),180.000,1.730,3.0,104,"Avenida del Oeste, nº ., Parque Ondarreta-Urtinsa (Alcorcón)","{'lat': 40.3404511, 'lng': -3.8293365}"
4.0,Esta promoción de obra nueva excepcional en el barrio de Moncloa-Argüelles presenta 4 viviendas reformadas de di...,,Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.490.000,7.268,3.0,205,"Argüelles, Argüelles (Distrito Moncloa-Aravaca. Madrid Capital)","{'lat': 40.4294136, 'lng': -3.721413}"
1.0,"se vende piso de 63 m2 ubicado en segunda planta, la vivienda se compòne de salon independiente con balcon y peq...",,calle Manuel Badia,Portazgo (Distrito Puente de Vallecas. Madrid Capital),120.000,1.690,2.0,71,"calle Manuel Badia, Portazgo (Distrito Puente de Vallecas. Madrid Capital)","{'lat': 40.3857816, 'lng': -3.6514218}"
2.0,3º A Port.8 Tipo 22. Piso en una finca de obra nueva de 111 m2 de superficie construida y emplazado en la zona d...,,"calle Londres Cruce Con C/ Río Guadiana,  S/N",Zona Noreste (Torrejón de Ardoz),307.000,2.765,3.0,111,"calle Londres Cruce Con C/ Río Guadiana,  S/N, Zona Noreste (Torrejón de Ardoz)","{'lat': 40.4611173, 'lng': -3.4678608}"
2.0,"GILMAR MIRASIERRA and PUERTA DE HIERRO (917717777), les ofrece este piso único en la urbanización más exclusiva ...",,Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),645.000,3.885,5.0,166,"Peñagrande, Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital)","{'lat': 40.475859, 'lng': -3.7212297}"
1.0,"La vivienda se encuentra totalmente reformada, con altas calidades.
 La distribución de la vivienda es en  sal...",3ª,Lista,Lista (Distrito Salamanca. Madrid Capital),475.000,4.797,2.0,99,"Lista, Lista (Distrito Salamanca. Madrid Capital)","{'lat': 40.4312768, 'lng': -3.6769396}"
4.0,"Fantastico bajo con jardín privado en Valdemarin, dentro de urbanización cerrada con piscina, padel y gimnasio 
...",,Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),980.000,5.297,4.0,185,"Valdemarín, Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital)","{'lat': 40.4703981, 'lng': -3.7727247}"
1.0,"Sin mas comisiones!!! Zona universidad. Vicálvaro. Vivienda reformada, situada en una zona tranquila, exterior, ...",,Vicálvaro,Ambroz (Distrito Vicálvaro. Madrid Capital),137.000,2.174,3.0,63,"Vicálvaro, Ambroz (Distrito Vicálvaro. Madrid Capital)","{'lat': 40.4098909, 'lng': -3.6169718}"
2.0,Piso alquilado para inversor. No se puede visitar. Vivienda alta exterior y en muy buen estado. Dispone de 2 hab...,4ª,calle Alcalá,Fuente del Berro (Distrito Salamanca. Madrid Capital),395.000,3.405,2.0,116,"calle Alcalá, Fuente del Berro (Distrito Salamanca. Madrid Capital)","{'lat': 40.4245984, 'lng': -3.6761579}"
1.0,"Este es el apartamento que está buscando. Ifrala Inmobiliaria vende apartamento duplex, en una Primera planta. M...",2ª,"calle de Matilde Diez, nº 3",Ciudad Jardín (Distrito Chamartín. Madrid Capital),225.000,4.166,1.0,54,"calle de Matilde Diez, nº 3, Ciudad Jardín (Distrito Chamartín. Madrid Capital)","{'lat': 40.4459412, 'lng': -3.6740679}"
1.0,"Estupendo y muy luminoso, piso de 87 m2 construidos.Dispone de tres dormitorios, un baño recién reformado, salón...",2ª,calle Apostol Santiago,Ventas (Distrito Ciudad Lineal. Madrid Capital),250.000,2.873,3.0,87,"calle Apostol Santiago, Ventas (Distrito Ciudad Lineal. Madrid Capital)","{'lat': 40.4271415, 'lng': -3.6545466}"
1.0,"Inmobiliaria MAQUEDA vende piso para reformar en calle Cáceres de Alcorcón, céntrico y muy próximo a Renfe y Met...",3ª,calle Cáceres,Casco Antiguo (Alcorcón),97.000,1.492,3.0,65,"calle Cáceres, Casco Antiguo (Alcorcón)","{'lat': 40.3463485, 'lng': -3.8332926}"
4.0,"Loft de diseño esta situada en la zona de Rios Rosas,  en planta baja exterior con amplias estancias, con varios...",,Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.100.000,2.750,4.0,400,"Ríos Rosas, Ríos Rosas (Distrito Chamberí. Madrid Capital)","{'lat': 40.4419975, 'lng': -3.7017574}"
1.0,"Magnifico apartamento de 55 mts en general rodrigo reformado 1 dormitorio, cocina, salon-comedor, baño. Al lado ...",,Apartamento en San Fco. Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),425.000,7.727,1.0,55,"Apartamento en San Fco. Sales, Vallehermoso (Distrito Chamberí. Madrid Capital)","{'lat': 40.442034, 'lng': -3.713091}"
2.0,"Piso procedente de banco, distribuido en salón, cocina, balcón, cuatro dormitorios y dos baños.",3ª,calle Real,Centro (Colmenar Viejo),164.847,1.351,4.0,122,"calle Real, Centro (Colmenar Viejo)","{'lat': 40.6605257, 'lng': -3.7665748}"
2.0,"Oportunidad!!
No cobramos al comprador!
Gran inversión!!
Visita este piso en covibar de 84 m². Incluye traste...",2ª,Covibar-Pablo Iglesias,Covibar-Pablo Iglesias (Rivas-Vaciamadrid),160.000,1.904,3.0,84,"Covibar-Pablo Iglesias, Covibar-Pablo Iglesias (Rivas-Vaciamadrid)","{'lat': 40.364387, 'lng': -3.5498748}"
1.0,"- r. - e. - s. - e. - r. - v. - a. - d. - o. 
31real servicios inmobiliarios vende:

Precioso piso, de un dor...",4ª,"calle del Valle del Silencio, nº 32",Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),280.000,5.090,1.0,55,"calle del Valle del Silencio, nº 32, Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital)","{'lat': 40.4690732, 'lng': -3.7149771}"
2.0,"Magnifico piso en zona Justicia, 170 m. de superficie, situadp en 5º planta, distribuido en hall recibidor, saló...",5ª,Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),950.000,5.588,6.0,170,"Justicia-Chueca, Justicia-Chueca (Distrito Centro. Madrid Capital)","{'lat': 40.4225194, 'lng': -3.6970153}"
2.0,"Gilmar Consulting Inmobiliario (916236650) pone a la venta este magnífico bajo con jardín de 150m2, construído s...",,Vega de La Moraleja,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),620.000,4.133,4.0,150,"Vega de La Moraleja, Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes)","{'lat': 40.5910124, 'lng': -3.5886479}"
1.0,"Vohome propiedades vende en exclusiva esta vivienda muy luminosa de 3 dormitorios, amplio salón con terraza, cua...",3ª,calle de Agustín Calvo,Canillas (Distrito Hortaleza. Madrid Capital),175.000,2.536,3.0,69,"calle de Agustín Calvo, Canillas (Distrito Hortaleza. Madrid Capital)","{'lat': 40.4641179, 'lng': -3.649325499999999}"
1.0,"ALTTER VENDE - Ideal Inversionista Rentabilidad 5%   
Piso en Collado Villalba, 1 habitación con armarios vestid...",,calle El Monte,Villalba Pueblo (Collado Villalba),139.000,2.316,1.0,60,"calle El Monte, Villalba Pueblo (Collado Villalba)","{'lat': 40.6423936, 'lng': -3.9900566}"
2.0,"Civitas inmobiliaria ofrece una excelente vivienda ubicada en calle juan sanchez, dentro de una urbanización que...",,Fuencarral - Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),655.000,3.638,3.0,180,"Fuencarral - Peñagrande, Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital)","{'lat': 40.4822249, 'lng': -3.7165869}"
2.0,GILMAR CONSULTING INMOBILIARIO CHAMBERI 915919190 vende Magnífico piso en una de las mejores fincas del barrio d...,,Rios Rosas,Berruguete (Distrito Tetuán. Madrid Capital),805.000,4.214,4.0,191,"Rios Rosas, Berruguete (Distrito Tetuán. Madrid Capital)","{'lat': 40.4419975, 'lng': -3.7017574}"
